,0
40,"['sausage', 'rolls/buns', 'soda', 'canned beer', 'specialty bar', 'shopping bags']"
41,"['tropical fruit', 'root vegetables', 'whole milk', 'yogurt', 'domestic eggs', 'brown bread', 'pastry', 'sugar', 'cereals', 'coffee', 'soda', 'waffles', 'candy']"
42,"['berries', 'yogurt']"
43,['canned beer']
44,"['butter milk', 'yogurt', 'cream cheese ', 'spread cheese', 'rolls/buns', 'bottled water', 'soda', 'newspapers']"
45,['coffee']
46,"['pastry', 'bottled water']"
47,['rolls/buns']
48,['misc. beverages']
49,"['root vegetables', 'other vegetables', 'butter', 'curd', 'whipped/sour cream', 'UHT-milk', 'hard cheese', 'rolls/buns', 'bottled water', 'long life bakery product']"
50,"['sausage', 'rolls/buns', 'cat food', 'newspapers']"
51,['canned beer']
52,"['ham', 'grapes', 'other vegetables', 'whole milk']"
53,"['turkey', 'tropical fruit', 'other vegetables', 'curd', 'domestic eggs', 'brown bread', 'semi-finished bread', 'margarine', 'baking powder', 'fruit/vegetable juice']"
54,"['whole milk', 'yogurt', 'processed cheese', 'pickled vegetables', 'soda']"
55,"['whole milk', 'curd', 'yogurt', 'pastry']"
56,"['packaged fruit/vegetables', 'brown bread', 'canned beer']"
57,"['rolls/buns', 'oil', 'bottled water', 'chewing gum', 'chocolate marshmallow', 'hygiene articles', 'napkins']"
58,"['ham', 'beef', 'whipped/sour cream', 'ice cream', 'rolls/buns', 'cat food']"
59,"['rolls/buns', 'pastry', 'sugar']"
60,"['other vegetables', 'whole milk', 'frozen vegetables', 'canned fish', 'salty snack', 'seasonal products', 'detergent']"
61,"['sausage', 'pastry']"
62,"['sausage', 'beef', 'whole milk']"
63,"['frankfurter', 'tropical fruit', 'rolls/buns', 'brown bread', 'sugar']"
64,"['rolls/buns', 'pastry', 'soda']"
65,['whole milk']
66,"['curd cheese', 'coffee']"
67,"['red/blush wine', 'newspapers']"
68,"['sausage', 'whole milk', 'curd']"
69,"['tropical fruit', 'pip fruit', 'berries', 'whole milk', 'frozen potato products', 'rolls/buns', 'pickled vegetables', 'chocolate']"
70,['red/blush wine']
71,"['whole milk', 'butter', 'margarine', 'specialty fat', 'specialty chocolate', 'candles', 'flower (seeds)']"
72,"['frankfurter', 'citrus fruit', 'whole milk', 'domestic eggs', 'oil', 'sparkling wine', 'specialty chocolate', 'newspapers']"
73,"['whole milk', 'meat spreads', 'soda']"
74,['frozen potato products']
75,"['other vegetables', 'whole milk', 'rolls/buns', 'sugar']"
76,"['citrus fruit', 'whole milk', 'curd', 'butter milk', 'pastry']"
77,"['flour', 'salt', 'bottled water', 'fruit/vegetable juice', 'bottled beer']"
78,"['sugar', 'bottled water', 'soda', 'bottled beer']"
79,"['frozen meals', 'coffee']"
80,['chocolate']
81,"['root vegetables', 'whole milk', 'frozen vegetables', 'domestic eggs', 'rolls/buns', 'oil', 'margarine', 'canned vegetables', 'fruit/vegetable juice', 'bathroom cleaner']"
82,"['root vegetables', 'onions', 'hard cheese', 'frozen vegetables']"
83,"['herbs', 'condensed milk', 'frozen vegetables', 'salt', 'oil', 'white wine', 'candles']"
84,['bottled water']
85,"['sausage', 'root vegetables', 'onions', 'yogurt', 'rolls/buns', 'brandy', 'detergent']"
86,"['coffee', 'newspapers']"
87,"['pork', 'other vegetables', 'whipped/sour cream']"
88,"['berries', 'yogurt']"
89,['soda']
90,['berries']
91,"['fruit/vegetable juice', 'salty snack', 'candles']"
92,"['citrus fruit', 'butter milk', 'yogurt', 'cream cheese ']"
93,"['pork', 'hamburger meat', 'citrus fruit', 'berries', 'onions', 'whipped/sour cream', 'rice', 'coffee', 'chocolate']"
94,['detergent']
95,"['grapes', 'photo/film']"
96,"['sausage', 'sliced cheese', 'rolls/buns', 'brown bread', 'fruit/vegetable juice', 'canned beer', 'red/blush wine', 'waffles', 'shopping bags']"
97,"['chicken', 'hamburger meat', 'citrus fruit', 'tropical fruit', 'root vegetables', 'other vegetables', 'butter', 'pasta', 'oil', 'detergent']"
98,"['whole milk', 'yogurt', 'brown bread']"
99,"['citrus fruit', 'tropical fruit']"
100,"['soda', 'misc. beverages']"
101,"['sausage', 'pork', 'grapes', 'whole milk', 'rolls/buns', 'pastry', 'soda', 'specialty bar', 'bathroom cleaner']"
102,"['frankfurter', 'rolls/buns', 'bottled water']"
103,"['sausage', 'whole milk', 'yogurt', 'coffee', 'fruit/vegetable juice', 'bottled beer', 'softener', 'napkins', 'photo/film', 'shopping bags']"
104,['soda']
105,"['rolls/buns', 'fruit/vegetable juice']"
106,"['beef', 'citrus fruit', 'berries', 'root vegetables', 'brown bread', 'detergent']"
107,"['whole milk', 'whipped/sour cream', 'rolls/buns', 'soda', 'waffles', 'candy', 'cling film/bags']"
108,['processed cheese']
109,"['tropical fruit', 'pip fruit']"
110,"['frankfurter', 'sausage', 'root vegetables', 'other vegetables', 'rolls/buns', 'oil', 'pickled vegetables', 'bottled beer', 'chewing gum', 'dishes']"
111,"['packaged fruit/vegetables', 'bottled water']"
112,"['whole milk', 'dessert', 'frozen vegetables', 'rolls/buns', 'margarine', 'bottled water', 'red/blush wine', 'newspapers']"
113,"['berries', 'whipped/sour cream']"
114,"['citrus fruit', 'berries', 'UHT-milk', 'processed cheese']"
115,"['tropical fruit', 'whole milk', 'yogurt']"
116,"['hamburger meat', 'whole milk', 'frozen vegetables', 'rolls/buns', 'bottled beer', 'sparkling wine']"
117,"['hamburger meat', 'other vegetables', 'whole milk', 'frozen vegetables', 'domestic eggs', 'soda', 'dishes']"
118,"['whole milk', 'cream cheese ', 'soda']"
119,"['fish', 'other vegetables', 'pastry', 'margarine', 'coffee', 'long life bakery product', 'male cosmetics', 'shopping bags']"
120,"['frankfurter', 'sausage', 'long life bakery product', 'waffles']"
121,"['packaged fruit/vegetables', 'dessert', 'semi-finished bread', 'canned beer']"
122,"['pastry', 'soda']"
123,"['other vegetables', 'red/blush wine']"
124,['misc. beverages']
125,"['frankfurter', 'sausage', 'citrus fruit', 'tropical fruit', 'pip fruit', 'whole milk', 'hard cheese', 'cream cheese ', 'domestic eggs', 'rice', 'sugar', 'canned fruit', 'misc. beverages', 'fruit/vegetable juice', 'hygiene articles']"
126,['sparkling wine']
127,['specialty bar']
128,"['sausage', 'butter milk', 'rolls/buns']"
129,['curd cheese']
130,"['frankfurter', 'dessert']"
131,"['whole milk', 'yogurt', 'beverages', 'brown bread', 'shopping bags']"
132,['newspapers']
133,"['berries', 'soda']"
134,"['curd', 'flour', 'liquor (appetizer)']"
135,"['tropical fruit', 'other vegetables', 'coffee']"
136,['soda']
137,"['rolls/buns', 'Instant food products']"
138,['canned beer']
139,['canned beer']
140,"['frankfurter', 'sausage', 'whole milk', 'rolls/buns', 'margarine']"
141,"['other vegetables', 'misc. beverages', 'canned beer']"
142,"['whole milk', 'frozen vegetables']"
143,['whole milk']
144,"['citrus fruit', 'butter', 'cream cheese ', 'white bread', 'oil', 'margarine', 'newspapers']"
145,"['frankfurter', 'rolls/buns']"
146,"['frankfurter', 'ham', 'pip fruit', 'other vegetables', 'whole milk', 'soft cheese', 'frozen vegetables', 'rolls/buns', 'sugar', 'baking powder']"
147,"['butter milk', 'yogurt', 'honey', 'soda', 'detergent']"
148,"['hamburger meat', 'citrus fruit', 'onions', 'rolls/buns', 'bottled water', 'dental care']"
149,"['pasta', 'popcorn']"
150,"['other vegetables', 'whole milk', 'meat spreads', 'cake bar', 'chocolate', 'shopping bags']"
151,"['sausage', 'pork', 'citrus fruit', 'dessert', 'white bread', 'dishes', 'candles']"
152,['rolls/buns']
153,"['grapes', 'other vegetables', 'curd', 'dessert', 'yogurt', 'napkins']"
154,"['root vegetables', 'other vegetables', 'whole milk', 'yogurt', 'beverages', 'soft cheese', 'frozen vegetables', 'fruit/vegetable juice', 'bottled beer']"
155,"['coffee', 'shopping bags']"
156,['popcorn']
157,"['whole milk', 'rolls/buns', 'sugar', 'bottled water', 'soda']"
158,"['tropical fruit', 'other vegetables', 'packaged fruit/vegetables', 'whole milk', 'snack products']"
159,"['beef', 'herbs', 'flour', 'cling film/bags', 'flower soil/fertilizer']"
160,"['whole milk', 'butter', 'dessert', 'rolls/buns']"
161,"['frankfurter', 'soda', 'chewing gum']"
162,"['tropical fruit', 'specialty cheese', 'bottled water']"
163,['canned beer']
164,"['finished products', 'other vegetables', 'frozen vegetables', 'bottled beer']"
165,"['beverages', 'soda']"
166,"['hamburger meat', 'root vegetables', 'whole milk']"
167,"['whole milk', 'pastry', 'long life bakery product']"
168,"['finished products', 'white wine', 'shopping bags']"
169,['other vegetables']
170,"['ham', 'tropical fruit', 'other vegetables', 'whole milk', 'white bread', 'brown bread', 'fruit/vegetable juice', 'bottled beer']"
171,['other vegetables']
172,"['curd', 'butter milk', 'cocoa drinks', 'salty snack', 'popcorn']"
173,['bottled beer']
174,"['curd', 'dessert', 'soda', 'salty snack', 'waffles', 'cake bar', 'chocolate', 'shopping bags']"
175,"['whole milk', 'cream cheese ', 'cereals', 'dog food']"
176,"['whole milk', 'salt']"
177,"['dessert', 'ice cream']"
178,"['sausage', 'soft cheese', 'coffee']"
179,"['other vegetables', 'bottled water', 'waffles', 'dishes', 'shopping bags']"
180,"['ham', 'whole milk', 'rolls/buns']"
181,"['other vegetables', 'ice cream']"
182,"['other vegetables', 'bottled water']"
183,"['soda', 'bottled beer', 'white wine', 'prosecco']"
184,"['herbs', 'candy']"
185,"['frankfurter', 'ham', 'tropical fruit', 'pip fruit', 'root vegetables', 'other vegetables', 'whole milk', 'butter', 'curd', 'yogurt', 'whipped/sour cream', 'soft cheese', 'sliced cheese', 'cream cheese ', 'frozen meals', 'frozen fish', 'domestic eggs', 'white bread', 'sugar', 'cereals', 'fruit/vegetable juice', 'bottled beer', 'waffles']"
186,"['rolls/buns', 'canned beer']"
187,"['curd', 'cream cheese ', 'semi-finished bread', 'zwieback', 'cake bar', 'specialty bar', 'shopping bags']"
188,"['frankfurter', 'tropical fruit', 'whole milk', 'spread cheese', 'margarine', 'shopping bags']"
189,['other vegetables']
190,['dog food']
191,['specialty bar']
192,"['curd', 'salt', 'liquor (appetizer)', 'detergent', 'shopping bags']"
193,"['frankfurter', 'rolls/buns']"
194,['soda']
195,"['beef', 'berries', 'root vegetables', 'whole milk', 'dessert', 'spread cheese', 'brown bread']"
196,['canned beer']
197,"['pork', 'beef', 'pip fruit', 'herbs', 'spices']"
198,"['frankfurter', 'citrus fruit', 'UHT-milk', 'margarine', 'sugar']"
199,"['sausage', 'bottled beer', 'liquor (appetizer)']"
200,['canned beer']
201,['specialty chocolate']
202,"['curd', 'rolls/buns']"
203,['canned beer']
204,"['whole milk', 'bottled water', 'newspapers']"
205,"['rolls/buns', 'chewing gum']"
206,"['pork', 'root vegetables', 'other vegetables', 'whole milk', 'dishes']"
207,"['citrus fruit', 'pastry']"
208,['pot plants']
209,"['rolls/buns', 'pastry', 'soda']"
210,"['butter', 'yogurt', 'bottled water', 'soda', 'make up remover', 'hygiene articles']"
211,"['condensed milk', 'sugar', 'coffee', 'shopping bags']"
212,"['sausage', 'other vegetables', 'yogurt', 'soda', 'shopping bags']"
213,"['whole milk', 'beverages', 'UHT-milk', 'soda']"
214,"['sausage', 'pork', 'beef', 'whole milk', 'rolls/buns', 'margarine']"
215,['beverages']
216,"['beverages', 'specialty bar']"
217,"['bottled water', 'fruit/vegetable juice']"
218,['newspapers']
219,"['cleaner', 'female sanitary products']"
220,"['sausage', 'soda', 'newspapers', 'shopping bags']"
221,['newspapers']
222,"['sausage', 'beef', 'citrus fruit', 'other vegetables', 'whole milk', 'butter milk', 'whipped/sour cream', 'beverages', 'hard cheese', 'rolls/buns', 'dish cleaner', 'cookware']"
223,"['misc. beverages', 'newspapers']"
224,['white wine']
225,"['sausage', 'sliced cheese', 'rolls/buns', 'soda', 'canned beer', 'shopping bags']"
226,"['meat', 'curd', 'bottled beer', 'cake bar']"
227,"['frankfurter', 'meat', 'tropical fruit', 'onions', 'oil', 'baking powder', 'tea', 'cling film/bags']"
228,"['ice cream', 'rolls/buns', 'canned beer']"
229,['canned beer']
230,"['tropical fruit', 'berries', 'root vegetables', 'other vegetables', 'bottled water', 'shopping bags']"
231,"['meat', 'citrus fruit', 'other vegetables', 'curd', 'dessert', 'butter milk', 'beverages', 'cream cheese ', 'rolls/buns', 'brown bread', 'tea', 'bottled water']"
232,"['whole milk', 'mustard', 'bottled water']"
233,"['sausage', 'beef', 'beverages', 'sliced cheese', 'rolls/buns', 'spices', 'house keeping products', 'flower (seeds)']"
234,"['frankfurter', 'sausage', 'root vegetables', 'butter', 'curd', 'sliced cheese', 'rolls/buns', 'salty snack', 'long life bakery product']"
235,"['meat', 'other vegetables', 'butter', 'rolls/buns']"
236,"['root vegetables', 'beverages', 'Instant food products', 'pickled vegetables', 'detergent']"
237,"['root vegetables', 'herbs', 'other vegetables', 'whole milk', 'sliced cheese', 'rolls/buns']"
238,"['whole milk', 'whipped/sour cream', 'semi-finished bread', 'margarine']"
239,"['citrus fruit', 'whole milk', 'curd', 'dessert', 'yogurt', 'whipped/sour cream', 'frozen dessert', 'rolls/buns', 'salt', 'sugar', 'cereals', 'canned vegetables', 'canned fish', 'skin care', 'hygiene articles', 'napkins']"
240,"['citrus fruit', 'curd', 'pastry', 'margarine', 'sugar', 'candy', 'newspapers']"
241,"['other vegetables', 'whole milk', 'bottled water', 'soda', 'misc. beverages', 'bottled beer', 'red/blush wine', 'napkins']"
242,"['citrus fruit', 'whole milk', 'rolls/buns']"
243,"['sausage', 'oil', 'hygiene articles', 'napkins']"
244,"['frankfurter', 'beef', 'hamburger meat', 'grapes', 'root vegetables', 'whole milk', 'butter', 'frozen dessert', 'potato products', 'bottled water', 'bottled beer']"
245,"['hard cheese', 'rolls/buns', 'bottled water', 'newspapers']"
246,"['cream cheese ', 'rolls/buns', 'soda', 'chocolate']"
247,"['turkey', 'beef', 'frozen vegetables', 'dishes', 'photo/film']"
248,"['pork', 'other vegetables', 'whipped/sour cream', 'rolls/buns', 'soda', 'shopping bags']"
249,"['whole milk', 'beverages']"
250,"['rolls/buns', 'soda']"
251,"['sausage', 'pip fruit', 'whole milk', 'curd', 'yogurt', 'sliced cheese', 'rolls/buns', 'bottled water', 'hygiene articles']"
252,['ice cream']
253,['liquor']
254,"['pip fruit', 'other vegetables', 'fruit/vegetable juice']"
255,"['root vegetables', 'other vegetables', 'yogurt']"
256,['soda']
257,['soda']
258,"['sausage', 'citrus fruit', 'tropical fruit', 'other vegetables', 'whole milk', 'yogurt', 'rolls/buns', 'bottled water', 'soda', 'chocolate', 'newspapers']"
259,"['root vegetables', 'whole milk', 'pet care', 'detergent']"
260,"['pork', 'berries', 'root vegetables', 'other vegetables', 'pastry', 'specialty bar']"
261,['pork']
262,['chocolate']
263,['fruit/vegetable juice']
264,"['pickled vegetables', 'coffee']"
265,['bottled water']
266,"['frankfurter', 'sausage', 'butter', 'whipped/sour cream', 'rolls/buns', 'margarine', 'spices']"
267,"['tropical fruit', 'pip fruit', 'onions', 'other vegetables', 'whole milk', 'domestic eggs', 'sugar', 'soups', 'tea', 'soda', 'hygiene articles', 'napkins']"
268,['canned beer']
269,['root vegetables']
270,"['meat', 'citrus fruit', 'berries', 'root vegetables', 'whole milk', 'soda']"
271,"['frankfurter', 'rolls/buns', 'bottled water', 'fruit/vegetable juice', 'hygiene articles']"
272,"['tropical fruit', 'margarine', 'rum']"
273,"['tropical fruit', 'root vegetables', 'herbs', 'whole milk', 'butter milk', 'whipped/sour cream', 'flour', 'hygiene articles']"
274,"['citrus fruit', 'pip fruit', 'root vegetables', 'other vegetables', 'whole milk', 'cream cheese ', 'domestic eggs', 'brown bread', 'margarine', 'baking powder', 'waffles']"
275,"['hamburger meat', 'other vegetables', 'whole milk', 'curd', 'yogurt', 'rolls/buns', 'pastry', 'semi-finished bread', 'margarine', 'bottled water', 'fruit/vegetable juice']"
276,"['chicken', 'pip fruit', 'other vegetables', 'whole milk', 'dessert', 'yogurt', 'whipped/sour cream', 'rolls/buns', 'pasta', 'soda', 'waffles']"
277,"['chicken', 'citrus fruit', 'tropical fruit', 'root vegetables', 'whole milk', 'frozen fish', 'rolls/buns']"
278,"['frankfurter', 'citrus fruit', 'onions', 'other vegetables', 'whole milk', 'rolls/buns', 'sugar', 'soda']"
279,['canned beer']
280,"['turkey', 'pip fruit', 'salad dressing', 'pastry']"
281,"['packaged fruit/vegetables', 'whole milk', 'curd', 'yogurt', 'domestic eggs', 'brown bread', 'mustard', 'pickled vegetables', 'bottled water', 'misc. beverages']"
282,['pasta']
283,"['citrus fruit', 'tropical fruit']"
284,"['sausage', 'whole milk', 'yogurt', 'rolls/buns', 'brown bread', 'pot plants']"
285,"['whole milk', 'frozen meals', 'pastry', 'fruit/vegetable juice', 'waffles']"
286,['canned beer']
287,"['citrus fruit', 'sugar', 'sauces']"
288,['liquor (appetizer)']
289,"['citrus fruit', 'other vegetables', 'rolls/buns', 'salty snack', 'shopping bags']"
290,['sausage']
291,"['chicken', 'other vegetables', 'whole milk', 'vinegar', 'oil', 'bottled water', 'canned beer', 'napkins', 'newspapers']"
292,"['hamburger meat', 'root vegetables', 'other vegetables', 'whole milk', 'yogurt', 'whipped/sour cream', 'specialty cheese', 'flour', 'margarine']"
293,"['sausage', 'pork', 'other vegetables', 'dessert', 'yogurt', 'oil', 'soda']"
294,"['beef', 'berries', 'root vegetables', 'whole milk', 'whipped/sour cream', 'abrasive cleaner']"
295,"['citrus fruit', 'packaged fruit/vegetables', 'yogurt', 'bottled water']"
296,"['UHT-milk', 'coffee']"
297,['candy']
298,['newspapers']
299,"['beef', 'citrus fruit', 'other vegetables', 'yogurt']"
300,"['sausage', 'rolls/buns']"
301,"['frankfurter', 'beef', 'root vegetables', 'curd', 'dessert', 'yogurt', 'soft cheese', 'rolls/buns', 'mustard', 'pickled vegetables', 'canned beer', 'hygiene articles', 'napkins']"
302,['canned beer']
303,['bottled beer']
304,"['onions', 'soda', 'chewing gum', 'chocolate', 'newspapers']"
305,"['tropical fruit', 'packaged fruit/vegetables', 'cream cheese ', 'white bread', 'candy']"
306,"['bottled water', 'white wine']"
307,"['beef', 'white bread', 'pastry', 'pasta', 'soap']"
308,"['sausage', 'chicken', 'tropical fruit', 'root vegetables', 'whole milk', 'yogurt', 'candy', 'abrasive cleaner', 'cleaner']"
309,['hair spray']
310,"['chicken', 'whole milk', 'spices', 'long life bakery product', 'shopping bags']"
311,"['pork', 'citrus fruit', 'brown bread', 'pastry', 'sugar', 'cat food']"
312,['ice cream']
313,"['meat', 'hard cheese', 'bottled beer']"
314,"['other vegetables', 'yogurt', 'brown bread', 'instant coffee']"
315,"['bottled water', 'cake bar']"
316,"['tropical fruit', 'soda', 'salty snack']"
317,['photo/film']
318,"['sausage', 'citrus fruit', 'yogurt', 'coffee', 'soda', 'canned beer', 'dishes']"
319,"['grapes', 'root vegetables']"
320,"['domestic eggs', 'brown bread', 'photo/film']"
321,"['rolls/buns', 'canned fish', 'canned beer']"
322,"['tropical fruit', 'whole milk']"
323,['chicken']
324,"['frankfurter', 'other vegetables', 'yogurt', 'brown bread', 'bottled water']"
325,"['berries', 'root vegetables', 'other vegetables', 'curd', 'butter milk', 'cream cheese ', 'roll products ', 'margarine', 'misc. beverages', 'specialty chocolate', 'detergent']"
326,"['margarine', 'hygiene articles']"
327,"['tropical fruit', 'yogurt', 'rolls/buns', 'soda', 'shopping bags']"
328,"['ham', 'other vegetables', 'whipped/sour cream', 'hard cheese', 'rolls/buns', 'soda', 'misc. beverages', 'chocolate', 'candy']"
329,"['hamburger meat', 'white bread', 'salty snack']"
330,"['yogurt', 'mayonnaise', 'rolls/buns', 'soda', 'napkins']"
331,"['soda', 'specialty chocolate']"
332,['yogurt']
333,['soda']
334,['bottled water']
335,"['sausage', 'meat', 'hamburger meat', 'rubbing alcohol']"
336,"['citrus fruit', 'pip fruit', 'beverages', 'hard cheese', 'pet care', 'soda', 'fruit/vegetable juice', 'waffles']"
337,['shopping bags']
338,['newspapers']
339,"['frankfurter', 'other vegetables', 'whole milk', 'curd', 'frozen potato products', 'zwieback', 'specialty bar', 'dish cleaner']"
340,"['sausage', 'citrus fruit', 'whole milk', 'canned beer']"
341,"['frankfurter', 'rolls/buns']"
342,"['salt', 'salty snack', 'cookware']"
343,['oil']
344,"['curd', 'beverages', 'cream cheese ', 'rolls/buns', 'pastry', 'soda', 'cake bar', 'chewing gum']"
345,"['other vegetables', 'butter', 'specialty chocolate']"
346,['citrus fruit']
347,"['frankfurter', 'whole milk', 'butter milk']"
348,"['root vegetables', 'whole milk', 'butter', 'processed cheese', 'mayonnaise', 'salty snack']"
349,"['tropical fruit', 'whole milk', 'frozen meals', 'bottled beer']"
350,"['beef', 'hamburger meat', 'pip fruit']"
351,"['berries', 'whipped/sour cream', 'cereals', 'waffles', 'shopping bags']"
352,['canned beer']
353,"['whipped/sour cream', 'canned beer', 'red/blush wine']"
354,"['root vegetables', 'domestic eggs', 'margarine', 'chocolate marshmallow', 'candy']"
355,"['whole milk', 'soda']"
356,['beef']
357,['frozen vegetables']
358,"['rolls/buns', 'bottled beer']"
359,"['whole milk', 'hygiene articles']"
360,['whole milk']
361,"['citrus fruit', 'whole milk', 'curd', 'soft cheese']"
362,"['pastry', 'fruit/vegetable juice']"
363,"['frankfurter', 'sausage', 'pork', 'pip fruit', 'butter', 'processed cheese', 'white bread', 'brown bread']"
364,"['tropical fruit', 'root vegetables', 'whole milk', 'whipped/sour cream', 'domestic eggs']"
365,"['frankfurter', 'sausage', 'root vegetables', 'yogurt', 'whipped/sour cream', 'pastry', 'napkins']"
366,"['berries', 'root vegetables', 'other vegetables', 'packaged fruit/vegetables', 'whole milk', 'curd', 'curd cheese', 'cat food', 'specialty bar', 'detergent']"
367,"['rolls/buns', 'brown bread', 'pastry', 'coffee', 'bottled beer']"
368,"['root vegetables', 'packaged fruit/vegetables', 'curd', 'dessert', 'frozen vegetables', 'specialty fat', 'coffee']"
369,['yogurt']
370,"['other vegetables', 'bottled water']"
371,"['berries', 'white bread']"
372,"['berries', 'coffee']"
373,"['other vegetables', 'butter milk', 'frozen meals', 'bottled water']"
374,"['rolls/buns', 'newspapers']"
375,"['ham', 'citrus fruit', 'whole milk', 'whipped/sour cream', 'rolls/buns', 'pastry', 'waffles', 'hygiene articles']"
376,"['whole milk', 'frozen dessert', 'salty snack', 'napkins']"
377,"['tropical fruit', 'butter milk', 'rolls/buns', 'bottled water']"
378,['bottled water']
379,"['butter milk', 'yogurt']"
380,['newspapers']
381,['coffee']
382,"['bottled beer', 'liquor']"
383,"['onions', 'butter', 'whipped/sour cream', 'hard cheese', 'frozen vegetables', 'pasta', 'specialty fat', 'syrup', 'candy', 'napkins', 'cling film/bags']"
384,"['hamburger meat', 'hard cheese', 'frozen meals', 'pasta', 'dog food', 'salty snack', 'shopping bags']"
385,"['sausage', 'liver loaf', 'other vegetables', 'cream cheese ', 'pastry', 'soap', 'shopping bags']"
386,"['hard cheese', 'pastry', 'napkins']"
387,"['sausage', 'tropical fruit', 'condensed milk', 'rolls/buns']"
388,['hamburger meat']
389,"['onions', 'whole milk', 'beverages', 'frozen dessert']"
390,['coffee']
391,['shopping bags']
392,"['yogurt', 'rolls/buns', 'pastry', 'bottled water', 'soda', 'shopping bags']"
393,['soda']
394,['sliced cheese']
395,"['sausage', 'whole milk', 'coffee']"
396,"['yogurt', 'chocolate']"
397,"['domestic eggs', 'rolls/buns', 'dish cleaner', 'hygiene articles']"
398,['whole milk']
399,"['meat', 'other vegetables', 'whole milk', 'whipped/sour cream']"
400,"['dish cleaner', 'bathroom cleaner', 'hygiene articles', 'napkins']"
401,"['other vegetables', 'red/blush wine']"
402,"['whole milk', 'butter milk', 'yogurt', 'sliced cheese', 'rolls/buns', 'sweet spreads', 'coffee', 'fruit/vegetable juice', 'long life bakery product', 'shopping bags']"
403,"['other vegetables', 'whole milk', 'rolls/buns', 'Instant food products']"
404,"['tropical fruit', 'other vegetables']"
405,"['baking powder', 'bottled water', 'salty snack', 'chewing gum']"
406,['specialty bar']
407,['ice cream']
408,"['frankfurter', 'yogurt']"
409,['canned beer']
410,['bottled water']
411,"['other vegetables', 'whole milk', 'rolls/buns', 'margarine', 'bottled water', 'bottled beer']"
412,"['citrus fruit', 'tropical fruit', 'onions', 'other vegetables', 'shopping bags']"
413,"['sausage', 'ham', 'hamburger meat', 'whole milk', 'soda', 'softener', 'newspapers']"
414,"['domestic eggs', 'rolls/buns', 'specialty bar', 'napkins']"
415,"['pork', 'citrus fruit', 'tropical fruit', 'root vegetables', 'other vegetables', 'curd', 'hygiene articles']"
416,"['specialty cheese', 'frozen vegetables', 'coffee', 'soda', 'fruit/vegetable juice', 'salty snack']"
417,"['pork', 'citrus fruit', 'pip fruit', 'yogurt', 'fruit/vegetable juice', 'sparkling wine']"
418,"['beef', 'berries', 'whipped/sour cream', 'domestic eggs', 'rolls/buns']"
419,"['other vegetables', 'pet care']"
420,"['chicken', 'yogurt', 'sliced cheese', 'rolls/buns', 'chewing gum', 'dishes']"
421,"['soda', 'chewing gum']"
422,['whole milk']
423,['rolls/buns']
424,['bottled beer']
425,"['root vegetables', 'pastry', 'bottled water', 'male cosmetics']"
426,['pastry']
427,"['berries', 'pet care', 'cake bar', 'shopping bags']"
428,"['citrus fruit', 'tropical fruit', 'root vegetables', 'yogurt', 'canned vegetables', 'bottled water', 'soda', 'softener']"
429,"['whole milk', 'oil', 'canned fruit', 'fruit/vegetable juice']"
430,"['soda', 'misc. beverages']"
431,"['bottled water', 'soda']"
